2026-05-11 19:57:48 | utilizador | editar_fornecedor | id=315 nome=Auchan Retail Portugal, S.A.
2026-05-11 19:58:23 | utilizador | editar_fornecedor | id=56 nome=Caixa Geral Depositos Sa
2026-05-11 19:59:19 | utilizador | editar_fornecedor | id=53 nome=Bxferhote - Atividade Hoteleira, Lda.
2026-05-11 19:59:36 | utilizador | editar_fornecedor | id=78 nome=Ctt - Correios de Portugal S A
2026-05-11 20:00:09 | utilizador | editar_fornecedor | id=843 nome=E-Goi Lda
2026-05-18 21:11:31 | utilizador | editar_fornecedor | id=216 nome=
2026-05-18 21:12:39 | utilizador | editar_fornecedor | id=90 nome=
2026-05-18 21:13:21 | utilizador | editar_fornecedor | id=232 nome=
2026-05-18 21:13:49 | utilizador | editar_fornecedor | id=100 nome=
2026-05-18 21:13:55 | utilizador | editar_fornecedor | id=833 nome=
2026-05-18 21:14:01 | utilizador | editar_fornecedor | id=833 nome=
2026-05-18 21:14:51 | utilizador | editar_fornecedor | id=9 nome=
2026-05-18 21:15:23 | utilizador | editar_fornecedor | id=188 nome=
2026-05-18 21:16:22 | utilizador | editar_fornecedor | id=136 nome=
2026-05-18 21:16:44 | utilizador | editar_fornecedor | id=206 nome=
2026-05-18 21:17:04 | utilizador | editar_fornecedor | id=157 nome=
2026-05-18 21:17:39 | utilizador | editar_fornecedor | id=17 nome=
2026-05-18 21:18:09 | utilizador | editar_fornecedor | id=233 nome=
2026-05-18 21:18:35 | utilizador | editar_fornecedor | id=107 nome=
2026-05-18 21:18:50 | utilizador | editar_fornecedor | id=131 nome=
2026-05-18 21:19:34 | utilizador | editar_fornecedor | id=238 nome=
2026-05-18 21:19:49 | utilizador | editar_fornecedor | id=183 nome=
2026-05-18 21:20:20 | utilizador | editar_fornecedor | id=183 nome=
2026-05-18 21:20:52 | utilizador | editar_fornecedor | id=183 nome=
2026-05-18 21:21:18 | utilizador | editar_fornecedor | id=119 nome=
2026-05-18 21:21:43 | utilizador | editar_fornecedor | id=11 nome=
2026-05-18 21:22:23 | utilizador | editar_fornecedor | id=235 nome=
2026-05-18 21:22:43 | utilizador | editar_fornecedor | id=105 nome=
2026-05-18 21:22:53 | utilizador | editar_fornecedor | id=91 nome=
2026-05-18 21:23:14 | utilizador | editar_fornecedor | id=174 nome=
2026-05-18 21:24:04 | utilizador | editar_fornecedor | id=212 nome=
2026-05-18 21:24:25 | utilizador | editar_fornecedor | id=181 nome=
2026-05-18 21:24:46 | utilizador | editar_fornecedor | id=85 nome=
2026-05-18 21:25:22 | utilizador | editar_fornecedor | id=234 nome=
2026-05-18 21:25:33 | utilizador | editar_fornecedor | id=234 nome=
2026-05-18 21:26:07 | utilizador | editar_fornecedor | id=152 nome=
2026-05-18 21:26:44 | utilizador | editar_fornecedor | id=130 nome=
2026-05-18 21:27:03 | utilizador | editar_fornecedor | id=129 nome=
2026-05-18 21:27:31 | utilizador | editar_fornecedor | id=145 nome=
2026-05-18 21:28:04 | utilizador | editar_fornecedor | id=236 nome=
